processid	sampleid	bin_uri	genus_name	lat	lon
WMB4367-14	RVcoll.14-B098	BOLD:AAA8713	Issoria	40.285	-7.519
ACRJP1009-23	BC-MNHNJP1352	BOLD:AAC9577	Acraea	-1.317	36.683
ACRJP812-15	BC-MNHNJP1154	BOLD:AAF5485	Acraea	6.29417	12.9485
ACRJP990-23	BC-MNHNJP1333	BOLD:ACT7965	Acraea	-20.517	46.767
ASARD2359-12	INB0003881902	BOLD:AAC7788	Pteronymia	10.701	-85.009
BIBSA1870-17	RVcoll16C765	BOLD:AAA9312	Brenthis	43.924	11.792
BIBSA962-15	13-U325	BOLD:AAB1747	Boloria	46.617	12.731
BLPAA45760-23	22-SRNP-30313	BOLD:AAB9625	NA	11.0135	-85.4241
CBPMY415-15	CBP0420	BOLD:ABY2739	Acraea	3.193	101.628
CNCBF678-14	CCDB-24272-B01	BOLD:AAE2403	Speyeria	49.03	-104.5
CRATA19548-22	BIOUG89950-H01	BOLD:ABX5373	Oleria	9.016	-83.004
CRATA33606-22	BIOUG91366-H01	BOLD:AAC7787	Greta	9.016	-83.004
EULEP1354-15	RVcoll.14-F916	BOLD:AAA8958	Argynnis	38.059	22.158
EULEP6064-20	RVcoll16H006	BOLD:AAA3397	Boloria	62.7342	17.0624
EZSPC764-10	RVcoll.08-L511	BOLD:AAA9312	Brenthis	41.773	2.337
GBGL28939-19	KY649575	BOLD:ADR5298	Actinote	-3.024	-78.635
GBGL28975-19	MG735636	BOLD:AAA3397	Boloria	55.34	39.46
GBGL43227-21	MW020496	BOLD:AAA2067	Boloria	67.94	-149.81
GBGL9698-12	HM051677	BOLD:ACE4521	Brevioleria	-8.52272	-74.1142
GBLN1644-08	EU068854	BOLD:ACF4280	Mechanitis	-0.52	-76.4
GBLN3749-14	JX573801	BOLD:ABZ2693	Oleria	-4.69	-79.09
GBLN3801-14	JX573766	BOLD:ACQ3072	Greta	-5.65	-77.72
GMGNE030-14	BIOUG15662-E09	BOLD:AAA2067	Boloria	74.469	-20.574
GRAEL325-21	CLV8226	BOLD:AAB5849	Boloria	47.3296	0.781833
LEPAR674-11	MACN-Bar-Lep-ct 00967	BOLD:AAZ1317	Aeria	-25.68	-54.17
LNU463-17	17_FAZS_203	BOLD:AAB1747	Boloria	57.7182	18.7041
MHMXE540-06	06-SRNP-3790	BOLD:AAA9566	Danaus	10.878	-85.393
MHMYH950-10	09-SRNP-36897	BOLD:AAA6396	Greta	10.9333	-85.4573
PHLSA407-11	TLMF Lep 05862	BOLD:AAA9406	Boloria	46.951	10.308
RDHP500-06	603NK-2268.1	BOLD:ABZ0595	Speyeria	49.02	-119.05
SNA030-07	JCD11008	BOLD:ABZ0595	Speyeria	43.98	-103.77
SSBCA5956-15	BIOUG25127-B02	BOLD:ACE3748	Boloria	54.761	-126.931
ABOLD021-16	TLMF Lep 21099	BOLD:AAA9406	Boloria	48.567	14.75
ACRJP927-21	BC-MNHNJP1269	BOLD:AAN3191	Acraea	-14.9667	22.6833
ATLAS034-22	RVcoll21A174	BOLD:AAB5849	Boloria	50.146	4.779
BCBEE302-22	BIOUG71203-B05	BOLD:ABZ2169	Speyeria	53.926	-124.566
EULEP3581-16	RVcoll15G155	BOLD:AAA9312	Brenthis	46.6424	2.19402
EULEP4743-16	RVcoll16G757	BOLD:AAA3397	Boloria	62.7342	17.0624
EZHBA512-07	CSG08699	BOLD:AAB2344	Fabriciana	53.7	87.1
GBCAB7219-24	ON586743	BOLD:AAB2344	Fabriciana	57.6983	18.7214
GBGL21837-19	MG210064	BOLD:AAA8568	Dircenna	-1.56427	-78.463
GBGL28954-19	KY649603	BOLD:ADR3865	Actinote	-4.798	-79.309
GBGL29086-19	LT795231	BOLD:AAA3397	Boloria	53.4679	27.9643
GBLN1471-08	EU069045	BOLD:AAC7284	Hypoleria	-0.52	-76.4
GBLN1737-08	EU068972	BOLD:AAD9176	Pteronymia	-0.52	-76.4
GBLN2113-09	FJ468779	BOLD:AAD6787	Napeogenes	-2.36	-78.15
GBLN3729-14	JX573773	BOLD:AAY2246	Greta	-4.69	-79.09
GBMIN70713-17	KP007567	BOLD:ABY8587	Danaus	-7.15691	144.835
GBMIN70749-17	KP007618	BOLD:ABX5122	Danaus	23.5863	81.173
GBMNE59777-22	MZ026224	BOLD:ACE8778	Fabriciana	40.0534	-8.22662
GBMNE59819-22	MZ026269	BOLD:AAB2344	Fabriciana	56.599	14.2402
GBMNE59839-22	MZ026289	BOLD:AAB2344	Fabriciana	46.717	23.633
GMAGK011-15	BIOUG23250-G03	BOLD:ACF4280	Mechanitis	-27.4447	-54.9403
HBNK236-07	607NK-JB2761	BOLD:AAA2067	Boloria	66.243	-136.856
LBCB601-05	HLC-21541	BOLD:ABZ2169	Speyeria	50.976	-117.592
LCHP317-07	07PROBE-03883	BOLD:AAA3397	Boloria	58.735	-94.119
LOWAB236-09	McGuire09-TR71	BOLD:AAA8713	Issoria	40.5264	41.9731
MHMXG565-07	06-SRNP-35915	BOLD:AAA6396	Greta	10.927	-85.468
MHMXO675-08	07-SRNP-57739	BOLD:AAD6393	Danaus	10.767	-85.433
MYENT119-17	USNMENT00804913	BOLD:AAL5461	Euploea	11.0651	98.9158
RDBBC655-05	CSG23363 C BC	BOLD:AAA4400	Speyeria	51.309	-121.916
RDLQB144-05	DH010230	BOLD:ABZ0596	Speyeria	47.002	-73.894
WMB4646-14	RVcoll.LD-2432	BOLD:AAA8958	Argynnis	41.795	9.22
ASARD2356-12	INB0004184550	BOLD:AAB9625	Pteronymia	9.892	-83.978
ASARD2681-12	INB0003738196	BOLD:AAC8300	Heliconius	9.863	-85.063
BIBSA745-15	LEP-SS-00272	BOLD:AAB5849	Boloria	42.1189	14.0228
BJUP336-17	BJUP340	BOLD:AAD9780	Argynnis	39.9988	116.209
BLPAA39989-23	20-SRNP-37161	BOLD:ABY4498	Mechanitis	10.9269	-85.4682
CNCBF664-14	CCDB-24271-H10	BOLD:AAC8163	Euptoieta	50.45	-110.03
EULEP3579-16	RVcoll15I791	BOLD:AAA9312	Brenthis	47.6319	13.7978
GBGL21785-19	KP007583	BOLD:ADR6572	Danaus	1.28217	32.3437
GBGL21925-19	KR150578	BOLD:AAC5742	Euploea	-12.66	135.86
GBGL29189-19	LT795334	BOLD:AAA5115	Boloria	49.7492	15.3833
GBGL29200-19	LT795345	BOLD:AAA5114	Boloria	38.8208	-96.3316
GBLN2130-09	FJ468762	BOLD:AAA9199	Napeogenes	1.02	-75.15
GBMIN26464-13	JQ733219	BOLD:ADQ5678	Acraea	5.67	7.2
GBMIN70777-17	KP007651	BOLD:ABY8587	Danaus	0.15592	113.965
GBMIN70887-17	KR150584	BOLD:AAC5742	Euploea	-12.59	136.24
GBMNE59850-22	MZ026167	BOLD:AAB2322	Argynnis	44.8169	28.6875
GRAFW1626-12	ZA2012-2792	BOLD:AAA2067	Boloria	74.1685	-42.0757
GUPPY095-17	2017nk62	BOLD:AAA4400	Speyeria	49.8758	-114.006
LCHP321-07	07PROBE-03888	BOLD:ACE3748	Boloria	58.632	-93.788
LNOA761-16	MACN-Bar-Lep-ct 07866	BOLD:ACQ3476	Pteronymia	-23.761	-64.8503
LNOA776-16	MACN-Bar-Lep-ct 07881	BOLD:AAJ5632	Actinote	-23.761	-64.8503
LNU126-17	AVM_127	BOLD:AAB6318	Tirumala	22.4191	103.852
LOQT393-06	gvc00035-1L	BOLD:AAC4419	Acraea	-19.381	146.449
LPNGB618-06	USNM ENT 00498419	BOLD:AAD4963	Euploea	-5.23333	145.683
LYPAP666-09	MAL-02666	BOLD:AAB6669	Dryas	21.368	-87.584
LYPIE785-09	MAL-02409	BOLD:AAC3838	Dione	19.067	-89.519
MABUT218-11	NIBGE BUT-00218	BOLD:AAW5482	Phalanta	33.7167	73.3333
MHMXM639-07	07-SRNP-32385	BOLD:AAA7788	Hypoleria	10.989	-85.426
RDHP529-06	603NK-TK.21	BOLD:ABZ2169	Speyeria	32.67	-109.88
SNA062-07	JCD90700	BOLD:ABZ4892	Speyeria	45.8	-77.333
TRIHL062-22	IAvH-TRI-A607	BOLD:AAB6669	Dryas	3.058	-75.3917
WMB2075-13	RVcoll.12-Q975	BOLD:AAA8713	Issoria	37.8	15.04
WMB3511-14	RVcoll.10-B817	BOLD:ABY9182	Fabriciana	44.247	6.665
ANICT932-11	11ANIC-06932	BOLD:AAA9566	Danaus	-35.12	138.475
ASARD2286-12	INB0004107480	BOLD:AAE7220	Napeogenes	9.621	-83.271
BPALB440-17	CCDB-23846 E12	BOLD:AAD7194	NA	-8.52272	-74.1142
CNPKG571-14	BIOUG10559-H07	BOLD:ABZ1545	Boloria	48.601	-86.2893
CRATC37525-23	CBG-A06277-A06	BOLD:ABX5373	NA	9.01585	-83.004
FCHAR3278-19	CHARS00316-E10	BOLD:AAA3397	Boloria	67.834	-115.201
