processid	sampleid	bin_uri	genus_name	lat	lon
PLLBI3009-20	BIOUG51764-D09	BOLD:ADB0819	ichneuMalaise01	10.763	-85.334
PLPCW063-20	BIOUG58092-H07	BOLD:ACG8317	Setanta	10.763	-85.334
PLRCI013-20	BIOUG58018-E10	BOLD:ACG8381	Carinodes	10.761	-85.335
PLZAD042-20	BIOUG55341-G03	BOLD:ACZ8587	ichneuMalaise01	10.76	-85.334
POSPA919-15	BIOUG20983-C05	BOLD:AAU9399	Cyclolabus	49.301	-123.14
SSKNA1222-15	BIOUG23306-G06	BOLD:ACX3331	Platylabus	57.532	-130.202
SSPPA1815-15	BIOUG26272-E08	BOLD:ABA6151	Coelichneumon	41.9641	-82.529
ABWYT4283-24	CBG-A27569-C07	BOLD:AAE8982	NA	60.7884	-135.188
ASGLE1425-10	ASGLE2-0190	BOLD:AAG7645	Vulgichneumon	45.5102	-76.9768
ASGLE1555-10	ASGLE2-0320	BOLD:ACE4814	Ichneumon	43.554	-80.264
ASMII1089-22	BIOUG80192-D08	BOLD:AEL5696	Setanta	-34.963	117.354
CNGBE1104-14	BIOUG09854-F11	BOLD:ACF2807	Ichneumon	44.8515	-79.8744
CNLMS087-14	BIOUG14404-A08	BOLD:AAG7742	Aoplus	46.6507	-72.9698
CNYOG232-15	BIOUG19311-B07	BOLD:ACN5938	Platylabus	51.365	-116.528
COLMS2680-22	BIOUG91355-H06	BOLD:ACD0579	Ichneumon	38.91	-105.2
CRALA34242-21	BIOUG72309-D03	BOLD:AAI7599	Stenodontus	9.015	-83.004
CRALB17229-21	BIOUG71596-B10	BOLD:ACS4175	ichneuMalaise01	9.015	-83.004
CRBOE38147-23	CBG-A09902-B07	BOLD:AFE1600	NA	10.7589	-85.0092
CRCBB36283-23	CBG-A04545-E05	BOLD:ACT6630	Carinodes	10.327	-84.08
CROCA16577-21	BIOUG64492-E06	BOLD:AEM4624	Carinodes	9.263	-83.871
CROZA13095-21	BIOUG63943-E10	BOLD:AEL2410	ichneuMalaise01	9.262	-83.874
CRPED18936-21	BIOUG72910-D03	BOLD:ACG8317	Setanta	9.973	-84.094
CRPED30274-21	BIOUG75844-B09	BOLD:ADA8497	Barichneumon	9.973	-84.094
CRQUC13587-23	CBG-A19701-C04	BOLD:AFX3484	ichneuMalaise01	9.61444	-83.8186
CRQUC14120-23	CBG-A19706-H02	BOLD:AFX3482	ichneuMalaise01	9.61444	-83.8186
CRSCA29783-24	CBG-A31066-F05	BOLD:AEP3338	ichneuMalaise01	10.8038	-85.3261
CRSRA4447-22	BIOUG76512-A04	BOLD:AEP2379	ichneuMalaise01	8.483	-83.591
CRSRD22805-24	CBG-A38474-G10	BOLD:AEM4624	NA	8.48315	-83.5908
FBIIA255-10	BC ZSM HYM 02725	BOLD:ADL7865	Ichneumon	49.5	11.3
GBICH782-17	BC-ZSM-HYM-27505-B10	BOLD:ADL7997	Misetus	67.659	32.642
GBMIN25250-13	JQ344811	BOLD:ACD7711	NA	38.0733	104.691
GBMIN35259-13	HM020572	BOLD:ACD7937	Trachyarus	62.2268	25.9658
GBMIN35335-13	HM020641	BOLD:ACD4879	Trachyarus	62.325	25.6765
GMCWW064-14	BIOUG17551-B01	BOLD:ACR7671	ichneuMalaise01	10.8438	-85.6138
GMLED5546-23	CBG-A17619-E02	BOLD:ACW0288	Dicaelotus	34.3097	35.9906
GMRSV187-15	BIOUG27028-A12	BOLD:ACC6330	Tycherus	43.4858	131.975
GMSCE1146-20	BIOUG51866-G04	BOLD:AAH2004	Phaeogenes	33.997	-119.716
GMSVA3307-22	BIOUG85323-H09	BOLD:AAG7732	NA	37.89	-119.096
ICHFI1351-13	FICH-001636	BOLD:ACG4496	Eupalamus	60.75	24.191
JBLRB060-23	BIOUG98338-E12	BOLD:ACL8601	NA	46.044	-109.805
JBLRB4639-23	BIOUG98382-D05	BOLD:AAU8370	Epitomus	44.745	-111.765
JCCCZ067-16	BIOUG30010-F10	BOLD:AAC9790	Tricholabus	10.763	-85.334
NZHYM070-10	NZAC04033715	BOLD:ACF4049	Aucklandella	-45.482	167.697
NZHYM3008-20	NZAC03035264	BOLD:ACV3131	Degithina	-37.112	175.121
OPPFQ4226-17	BIOUG35109-E02	BOLD:ACF0076	Ichneumon	42.2628	-83.0725
OPPIG009-17	BIOUG33495-G10	BOLD:AAH7272	NA	44.1156	-80.1278
OPPOI217-17	BIOUG34673-A05	BOLD:ACE9045	Ichneumon	44.2829	-77.7963
PLABA263-18	BIOUG44193-F12	BOLD:ACR7671	ichneuMalaise01	10.763	-85.334
PLEBZ090-19	BIOUG50726-E06	BOLD:ADB9082	ichneuMalaise01	10.763	-85.334
PLTAI293-20	BIOUG55233-D12	BOLD:ACG8070	Oezdemirus	10.761	-85.335
PLWDA367-21	BIOUG64737-G07	BOLD:ACR7671	ichneuMalaise01	10.763	-85.335
RRSSC6316-15	BIOUG24151-D02	BOLD:AAH7259	NA	43.3908	-80.3747
SSBAF1737-13	BIOUG06139-F11	BOLD:AAF2908	Aethecerus	51.407	-116.154
SSBRB4312-14	BIOUG13250-A02	BOLD:ACC2867	Cratichneumon	46.808	-60.733
SSGBC10050-14	BIOUG15088-D06	BOLD:AAF2914	Barichneumon	49.477	-57.97
